id_causa;causa_principal;causa_especifica
1;IMPRUDENCIA DEL PEATÓN;CRUCE INDEBIDO POR LA CALZADA
2;IMPRUDENCIA DEL PASAJERO/OCUPANTE;PASAJEROS FUERA DE LA CARROCERÍA
3;IMPRUDENCIA DEL CONDUCTOR;CONDUCIR EN SENTIDO CONTRARIO
4;NEGLIGENCIA DEL CONDUCTOR;CONDUCIR CON FALLAS DE DIRECCIÓN
5;INFRAESTRUCTURA Y ENTORNO VIAL;ABANDONO DE OBJETOS EN LA VÍA
6;NEGLIGENCIA DEL CONDUCTOR;CONDUCIR CON FALLAS DE FRENOS
7;IMPRUDENCIA DEL CONDUCTOR;NO DAR PASO PREFERENTE AL PEATÓN
8;IMPRUDENCIA DEL PEATÓN;OTRO (IMPRUDENCIA DEL PEATÓN)
9;IMPERICIA DEL CONDUCTOR;NULL
10;IMPRUDENCIA DEL CONDUCTOR;NO ENCENDER LAS LUCES
11;NEGLIGENCIA DEL CONDUCTOR;OTRO (NEGLIGENCIA DEL CONDUCTOR)
12;IMPRUDENCIA DEL CONDUCTOR;USO DE DISPOSITIVOS MÓVILES
13;NEGLIGENCIA DEL CONDUCTOR;OTRO (IMPRUDENCIA DEL CONDUCTOR)
14;IMPRUDENCIA DEL CONDUCTOR;INVASIÓN DE CARRIL
15;IMPRUDENCIA DEL PASAJERO/OCUPANTE;SUBIR Y BAJAR DEL VEHÍCULO EN MOVIMIENTO
16;IMPRUDENCIA DEL CONDUCTOR;NO ESTABLECER EL DERECHO DE PASO
17;IMPRUDENCIA DEL CONDUCTOR;ADELANTAR INDEBIDAMENTE
18;IMPRUDENCIA DEL CONDUCTOR;DESACATO DE SEÑAL DE TRÁNSITO
19;IMPRUDENCIA DEL CONDUCTOR;FRENAR INTEMPESTIVAMENTE
20;IMPRUDENCIA DEL CONDUCTOR;EXCESO DE PASAJEROS O CARGA
21;NEGLIGENCIA DEL CONDUCTOR;CONDUCIR CON FALLAS DE SUSPENSIÓN
22;IMPRUDENCIA DEL CONDUCTOR;OTRO (IMPRUDENCIA DEL CONDUCTOR)
23;IMPRUDENCIA DEL CONDUCTOR;CONDUCIR EN ESTADO DE EBRIEDAD Y/O DROGADICCIÓN
24;IMPRUDENCIA DEL PEATÓN;USO DE DISPOSITIVOS MÓVILES Y/O ELECTRÓNICOS
25;INFRAESTRUCTURA Y ENTORNO VIAL;FACTOR AMBIENTAL
26;NEGLIGENCIA DEL CONDUCTOR;CONDUCIR CON FALLAS DE CARROCERÍA
27;EN PROCESO DE INVESTIGACIÓN;NO CUENTA CON CAUSA ESPECIFICA
28;IMPRUDENCIA DEL CONDUCTOR;CAÍDA DE MERCANCÍA
29;IMPRUDENCIA DEL PASAJERO/OCUPANTE;OTRO (IMPRUDENCIA DEL PASAJERO/OCUPANTE)
30;IMPRUDENCIA DEL CONDUCTOR;VEHÍCULO MAL ESTACIONADO
31;INFRAESTRUCTURA Y ENTORNO VIAL;SUPERFICIE DETERIORADA
32;INFRAESTRUCTURA Y ENTORNO VIAL;OTRO (INFRAESTRUCTURA Y ENTORNO VIAL)
33;IMPRUDENCIA DEL PEATÓN;EXCESO DE VELOCIDAD
34;INFRAESTRUCTURA Y ENTORNO VIAL;OBRAS TEMPORALES
35;INFRAESTRUCTURA Y ENTORNO VIAL;SEÑALIZACIÓN DEFECTUOSA
36;IMPRUDENCIA DEL CONDUCTOR;EXCESO DE VELOCIDAD
37;NEGLIGENCIA DEL CONDUCTOR;ABANDONO DE OBJETOS EN LA VÍA
38;NEGLIGENCIA DEL CONDUCTOR;CONDUCIR CON FALLAS ELÉCTRICAS
39;IMPRUDENCIA DEL CONDUCTOR;FATIGA Y/O CANSANCIO
40;IMPRUDENCIA DEL PEATÓN;ESTADO DE EBRIEDAD Y/O DROGADICCIÓN
41;IMPRUDENCIA DEL CONDUCTOR;GIRAR IMPRUDENTEMENTE
42;IMPRUDENCIA DEL PEATÓN;DESACATO DE SEÑAL DE TRÁNSITO
43;NEGLIGENCIA DEL CONDUCTOR;CONDUCIR CON FALLAS DE NEUMÁTICOS
